年月日時,気温(℃),現地気圧(hPa),相対湿度(％),風速(m/s),雲量(10分比),降水量(mm)
,,,,,,
2022/6/9 1:00,16.8,1011.7,90,1.4,,0
2022/6/9 2:00,16.9,1011.8,91,1.7,,0
2022/6/9 3:00,16,1012.2,97,1.3,10,0
2022/6/9 4:00,16.1,1012.6,98,1.6,,0
2022/6/9 5:00,16,1012.9,95,1.7,,0
2022/6/9 6:00,16.1,1013,94,1.9,10,0
2022/6/9 7:00,16.4,1013.3,95,1.4,,0
2022/6/9 8:00,17,1013.6,95,1.4,,0
2022/6/9 9:00,17.5,1013.6,88,1.4,10,0
2022/6/9 10:00,18,1013.9,90,1.3,,0
2022/6/9 11:00,18.5,1013.9,86,2,,0
2022/6/9 12:00,20,1013.7,81,1.3,9,0
2022/6/9 13:00,21.2,1012.8,70,2,,0
2022/6/9 14:00,23.2,1012.5,64,1.3,,0
2022/6/9 15:00,23.4,1012.1,63,1.6,4,0
2022/6/9 16:00,23.9,1012,60,3.6,,0
2022/6/9 17:00,22.6,1012.1,65,4.9,,0
2022/6/9 18:00,21.1,1012.6,74,4.2,4,0
2022/6/9 19:00,20.3,1013,79,3.7,,0
2022/6/9 20:00,19.9,1013.5,80,4.9,,0
2022/6/9 21:00,19.6,1014.4,82,3.8,9,0
2022/6/9 22:00,19.2,1014.3,84,2.5,,0
2022/6/9 23:00,19.1,1014.4,86,2.2,,0
2022/6/10 0:00,18.9,1014.4,88,2.1,,0
2022/6/10 1:00,18.5,1013.7,89,1.5,,0
2022/6/10 2:00,18.5,1013.5,89,1.5,,0
2022/6/10 3:00,18.3,1013.6,90,1.7,10-,0
2022/6/10 4:00,18.2,1014.1,91,1,,0
2022/6/10 5:00,18.1,1014.5,91,1.9,,0
2022/6/10 6:00,18.2,1014.9,91,1.4,10,0
2022/6/10 7:00,18.5,1015,90,1.5,,0
2022/6/10 8:00,19.6,1015.3,86,1.3,,0
2022/6/10 9:00,21.1,1014.7,76,1.5,10-,0
2022/6/10 10:00,21.9,1014.5,70,1.7,,0
2022/6/10 11:00,23.2,1014.1,69,2.2,,0
