date,event,description
7月1日,海開き,夏の海水浴シーズンを前にして、シーズン中の繁盛と安全を祈願し、神主などによる神事を執り行うことが多い。
7月2日,一年折り返しの日,平年ではこの日が一年の183日目に当たり、残り182日ある。1月1日から数えて183日目、12月31日から数えても183日目となる。平年はこの日の正午、閏年は午前0時がちょうど真ん中の時間となる。
7月3日,ソフトクリームの日,1951年（昭和26年）のこの日、明治神宮外苑で行われた米軍主催の「アメリカ独立記念日」（7月4日）を祝うカーニバルで、ソフトクリームの模擬店を立ち上げ、日本で初めてコーンスタイルのソフトクリームが販売された。
7月4日,アメリカ独立記念日,1776年のこの日、イギリス（グレートブリテン王国）からの自由と独立を宣言し、「アメリカ合衆国」（United States of America：USA）が誕生した。
7月5日,ビキニスタイルの日,1946年（昭和21年）のこの日、フランスのデザイナーのルイ・レアール（Louis R?ard、1897～1984年）が、世界で初めてビキニ・スタイルの水着を発表した。
7月6日,ワクチンの日,1885年のこの日、フランスの細菌学者のルイ・パスツール（1822～1895年）が開発した狂犬病ワクチンが少年に接種された。記念日は、ワクチンの大切さを多くの人に知ってもらうことが目的。
7月7日,七夕,「七夕（たなばた）」は、織姫（おりひめ）と彦星（ひこぼし）が天の川（あまのがわ）を渡って年に一度だけ会うことができるという中国の伝説に由来する日である。
7月8日,チャッカマンの日,日付は、最初の「チャッカマン」ブランドの製品である点火棒の発売が7月で、同社の設立日が1972年（昭和47年）7月8日であることから、7月8日を記念日としたもの。
7月9日,ジェットコースターの日,1955年（昭和30年）のこの日、日本初の本格的な「ジェットコースター」が設置された「後楽園ゆうえんち」（現：東京ドームシティアトラクションズ）が開園した。
7月10日,ウルトラマンの日,1966年（昭和41年）のこの日、TBSテレビで『ウルトラマン』の放送が開始された。第1回の放送は『ウルトラマン前夜祭 ウルトラマン誕生』であった。
7月11日,ラーメンの日,日付は「7」を「レンゲ」に、「11」を「箸」に見立てたことと、ラーメンを最初に食べた人物とされる水戸藩主・徳川光圀（とくがわ みつくに、水戸黄門、1628～1701年）の誕生日から。
7月12日,ラジオ本放送の日,1925年（大正14年）のこの日、東京放送局（現在のNHK）が愛宕山からラジオの本放送を開始した。ラジオの仮放送が始まったのはその年の3月22日、東京・芝浦の東京放送局仮放送所からであった。アナウンサーはその第一声「JOAK、JOAK、ジェー、オーゥ、エーィ、ケーィ、こちらは東京放送局であります。」と読み上げた。
7月13日,日本標準時制定記念日,1886年（明治19年）のこの日、勅令「本初子午線経度計算方及標準時ノ件」が公布され、兵庫県明石市を通る東経135度の子午線が日本標準時と定められた。
7月14日,ペリー上陸記念日,1853年のこの日（旧暦嘉永6年6月9日）、マシュー・ペリー提督率いる黒船艦隊4隻が江戸湾の浦賀に来航した。
7月15日,ファミコンの日,1983年（昭和58年）のこの日、任天堂から家庭用ビデオゲーム機「ファミリーコンピュータ（Family Computer）」が発売された。
7月16日,国土交通Day,1999年（平成11年）のこの日、「国土交通省設置法」が公布された。
